Bezeichnung / Feldgeräte,Beschreibung
5WG1512-4AB23,"Schaltaktor RL 512/23,  (Relais) 1x 16A"
5WG1512-4AB23,"Schaltaktor RL 512/23,  (Relais) 1x 16A"
5WG1513-1AB11,N 513/11 SCHALTAKTOR M3X2
5WG1513-1AB21,N 513/21 SCHALTAKTOR S3X2
5WG1513-4DB23,BINAERAUSGABEGERAET RL 51
5WG1513-4DB23,BINAERAUSGABEGERAET RL 51
5WG1520-2AB03,"Jalusieaktor UP 520/03, 1x6A, m.mont."
5WG1520-2AB03,"Jalusieaktor UP 520/03, 1x6A, m.mont."
5WG1520-2AB13,"Jalusieaktor UP 520/13, 1x6A,  ohne.mont"
5WG1520-2AB13,"Jalusieaktor UP 520/13, 1x6A,  ohne.mont"
5WG1520-2AB23,"Jalusieaktor RS 520/23, 1x 6A"
5WG1520-2AB23,"Jalusieaktor RS 520/23, 1x 6A"
5WG1520-2AB31,Jalousieaktor UP 520/31
5WG1521-4AB23,"Jalusieaktor RL 521/23, 2x 6A"
5WG1521-4AB23,"Jalusieaktor RL 521/23, 2x 6A"
5WG1523-1AB02,"Jalousieschalter N523/02, 4 Kanal"
5WG1523-1AB03,"Rolloschalter N523/03, 4 Kanal"
5WG1523-1AB04,"Jalousieaktor N523/04, 4 Kanal"
5WG1523-1AB11,"Jalousieaktor N523/11, 8 Kanal"
5WG1524-1AB01,JALOUSIESCHALTER N 524
5WG1525-1EB01,"Schalt-/Dimmaktor N 525E DALI, 8 Kanal"
5WG1525-2AB03,"Universaldimmer UP 525/03,  1x250VA, m.M"
5WG1525-2AB03,"Universaldimmer UP 525/03,  1x250VA, m.M"
5WG1525-2AB13,"Universaldimmer UP 525/13,  1x250VA, o.M"
5WG1525-2AB13,"Universaldimmer UP 525/13,  1x250VA, o.M"
5WG1525-2AB23,"Universaldimmer RS 525/23,  1x250VA"
5WG1525-2AB23,"Universaldimmer RS 525/23,  1x250VA"
5WG1525-2AB31,Universal Dimmer UP 525/31 2x pot.frei
5WG1526-1AB02,Schalt-Dimmaktor N526/02
5WG1527-1AB41,N 527/41 Universaldimmer S500 VA
5WG1527-1AB51,N 527/51 Universaldimmer S1000 VA
5WG1528-1AB31,N 528/31 Universaldimmer M300 VA
5WG1528-1AB41,N 528/41 Universaldimmer S300 VA
5WG1528-1DB01,"N528D01 Universaldimmer, 2x300VA"
5WG1528-1DB01,"N528D01 Universaldimmer, 2x300VA"
5WG1530-1DB31,SCHALTAKTOR N530D31
5WG1530-1DB31,SCHALTAKTOR N530D31
5WG1530-1DB51,SCHALTAKTOR N530D51
5WG1530-1DB51,SCHALTAKTOR N530D51
5WG1530-1DB61,SCHALTAKTOR N530D61
5WG1530-1DB61,SCHALTAKTOR N530D61
5WG1532-1DB31,SCHALTAKTOR N532D31
5WG1532-1DB31,SCHALTAKTOR N532D31
5WG1532-1DB51,SCHALTAKTOR N532D51
5WG1532-1DB51,SCHALTAKTOR N532D51
5WG1532-1DB61,SCHALTAKTOR N532D61
5WG1532-1DB61,SCHALTAKTOR N532D61
5WG1534-1DB31,SCHALTAKTOR N534D31
5WG1534-1DB31,SCHALTAKTOR N534D31
5WG1534-1DB51,SCHALTAKTOR N534D31
5WG1534-1DB51,SCHALTAKTOR N534D31
5WG1534-1DB61,SCHALTAKTOR N534D61
5WG1534-1DB61,SCHALTAKTOR N534D61
5WG1536-1DB51,DIMMAKTOR N536D51
5WG1543-1DB51,SONNENSCHUTZAKTOR N543D51
5WG1554-1DB31,Universaldimmer N554D31
5WG1554-1DB31,Universaldimmer N554D31
5WG1562-1AB11,"N562/11 Schaltaktor, M 3x10AX"
5WG1562-1AB21,"N562/21 Schaltaktor, S 3x10AX"
5WG1562-2AB31,"UP562/31 Schaltaktor, 6A, 2X230V"
5WG1562-7AB02,Ventilstellantrieb AP 562/02
5WG1567-1AB01,"Schaltaktor N567, 4x8 A, 230V"
5WG1567-1AB11,"Schaltaktor N567/11, 8x8 A, 230V"
5WG1567-1AB22,"N 567/22 Schaltaktor, 16x10A, 230V"
5WG1588-2AB13,"UP 588/13 Touch Panel, 230 V"
5WG1588-8AB13,Designrahmen Touchp. UP588  edelstahl
5WG1588-8AB14,Designrahmen Touchp. UP588  glas schwarz
5WG1588-8EB01,Einbau-/Hohlwanddose für Touchp. UP 588
5WG1605-1AB01,"Thermoantriebaktor N 605, 6A"
5WG1641-3AB01,Raumautomationsbox AP 641 für RS/RL mod.
5WG1641-3AB01,Raumautomationsbox AP 641 für RS/RL mod.
5WG3260-3AB11,"AP 260, Tür-/Fensterkontakt, weiss"
5WG3260-3AB11,"AP 260, Tür-/Fensterkontakt, weiss"
5WG4221-3AB10,Wandsender 1-fach EnOcean AP 221
6AV2104-0DA03-0AA0,"HMI,RT Adv. 512"
6AV2104-0FA03-0AA0,"HMI,RT Adv. 2048"
6AV2107-0CA00-0BB0,"HMI,Opt SM@RT Server Runtime Advance"
6AV2107-0CP00-0BB0,"HMI,Opt SM@RT Panel"
6AV2107-0RA00-0BB0,SIMATIC WINCC AUDIT
6AV2107-0RP00-0BB0,"HMI,Opt Audit P"
6AV2123-2DB03-0AX0,"HMI,KTP400 BsPN"
6AV2123-2GA03-0AX0,"HMI,KTP700 BsPB"
6AV2123-2GB03-0AX0,"HMI,KTP700 BsPN"
6AV2123-2JB03-0AX0,"HMI,KTP900 BsPN"
6AV2123-2MA03-0AX0,"HMI,KTP1200 BsPB"
6AV2123-2MB03-0AX0,"HMI,KTP1200 BsPN"
6AV2124-0GC01-0AX0,"HMI,TP700 CMT"
6AV2124-0JC01-0AX0,SIMATIC HMI TP900 CO
